Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Aschaffenburg/Bussardweg,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bad Reichenhall/Kirchholzstraße,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burgbernheim/Grüne Au,Burghausen/Marktler Straße,Erlangen/Kraepelinstraße,Garmisch-Partenkirchen/Wasserwerk,Hof/LfU,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kempten (Allgäu)/Westendstraße,Kleinwallstadt/Hofstetter Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,Mehring/Sportplatz,München/Allach,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Neustadt a.d.Donau/Eining,Nürnberg/Bahnhof,Nürnberg/Muggenhof,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Oettingen/Goethestraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Saal a.d.Donau/Auf dem Gries,Schwabach/Angerstraße,Schwandorf/Wackersdorfer Straße,Schweinfurt/Obertor,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Weiden i.d.OPf./Nikolaistraße,Würzburg/Stadtring Süd
01.01.2019 01:00,5,25,26,30,40,28,21,6,18,21,29,19,20,15,18,8,24,19,29,18,26,26,40,15,17,39,48,39,44,28,18,31,28,27,51,17,28,28,18,25,27,27,7,23,23,26
01.01.2019 02:00,6,20,25,21,33,19,24,16,8,16,29,16,14,16,14,7,25,17,21,16,25,21,43,16,12,38,57,35,43,26,19,27,26,24,47,13,28,27,15,22,28,28,7,20,16,24
01.01.2019 03:00,5,17,28,17,26,18,21,3,10,19,18,14,14,16,14,10,26,18,18,18,24,21,26,13,11,23,43,27,34,27,23,24,25,22,44,11,27,23,16,22,21,24,7,21,16,22
01.01.2019 04:00,5,16,24,17,20,15,21,5,12,15,15,14,16,14,14,9,24,20,17,17,20,20,14,14,10,17,22,18,30,26,20,25,20,19,41,11,25,23,19,19,14,21,8,24,12,18
01.01.2019 05:00,5,14,21,13,16,10,18,8,13,16,14,14,18,14,13,8,19,20,16,15,16,19,15,13,8,14,20,17,33,25,19,23,19,17,41,12,18,21,19,16,15,18,8,19,13,20
01.01.2019 06:00,5,13,21,12,17,11,9,6,11,16,13,14,15,13,16,8,21,22,18,17,11,21,21,9,5,15,23,17,31,25,18,29,18,16,41,16,14,20,19,15,15,15,9,20,16,17
01.01.2019 07:00,4,14,22,12,17,10,9,2,14,13,12,13,16,16,15,6,22,20,23,18,10,19,23,10,4,14,25,19,26,25,18,23,18,14,40,14,16,23,18,14,14,14,7,17,13,15
01.01.2019 08:00,4,17,19,12,16,7,8,8,12,10,10,10,8,13,21,7,20,18,19,14,9,18,29,9,4,12,18,14,22,23,18,24,15,12,41,14,17,26,17,15,12,13,7,15,11,13
01.01.2019 09:00,5,11,14,9,13,5,7,11,14,11,9,9,10,11,19,5,16,19,18,9,7,15,25,9,4,11,20,14,19,22,18,26,13,12,44,14,16,23,18,13,12,11,6,11,10,11
01.01.2019 10:00,5,12,10,8,13,7,6,9,13,9,11,10,7,11,21,5,15,18,25,6,8,15,14,11,4,11,18,14,19,21,15,32,13,11,43,15,16,21,16,12,9,10,6,11,9,10
01.01.2019 11:00,5,14,8,9,14,6,6,16,10,8,13,9,9,9,15,5,14,15,30,5,8,13,13,8,3,9,25,13,19,17,13,32,11,11,41,15,16,23,13,11,8,9,5,10,10,9
01.01.2019 12:00,5,11,8,7,13,6,7,23,10,7,17,7,6,8,    # ,6,13,15,15,6,10,12,14,6,2,9,20,13,14,17,13,23,8,10,31,8,15,20,14,10,9,10,5,8,11,12
01.01.2019 13:00,4,11,9,8,18,10,7,24,9,6,15,6,6,7,14,6,13,15,12,5,9,13,17,6,3,9,31,13,14,17,11,17,8,10,51,8,14,18,14,9,7,11,5,5,9,13
01.01.2019 14:00,3,12,9,8,18,11,7,26,7,5,16,6,6,5,15,5,13,16,11,7,8,14,19,6,3,9,42,13,26,14,12,21,8,9,46,6,15,16,13,9,8,11,5,6,12,13
01.01.2019 15:00,4,14,15,9,21,13,8,24,7,6,15,6,6,6,15,5,9,13,9,6,9,14,22,6,3,8,36,12,27,18,8,25,7,10,41,5,16,22,11,9,8,11,5,6,11,21
01.01.2019 16:00,4,13,12,10,17,9,7,31,9,7,15,8,8,6,15,5,7,10,8,7,9,12,28,6,4,10,38,15,31,15,5,29,9,10,59,4,16,22,9,11,8,14,4,6,11,14
01.01.2019 17:00,5,15,8,10,19,10,8,21,11,7,16,9,6,7,14,6,6,9,9,6,8,13,13,5,3,12,31,13,22,17,4,28,13,11,63,5,18,21,7,12,7,12,4,5,11,15
01.01.2019 18:00,4,13,8,9,19,12,8,21,13,7,16,8,6,7,20,6,8,9,10,9,8,12,9,7,4,10,33,13,24,17,4,26,13,11,62,7,13,18,6,12,8,15,4,5,10,15
01.01.2019 19:00,5,13,20,8,17,9,6,20,16,8,15,8,6,7,22,5,9,8,8,8,8,11,7,9,5,9,38,14,28,18,4,23,10,12,53,5,11,19,7,12,8,19,5,6,10,15
01.01.2019 20:00,6,13,27,7,14,6,6,19,9,8,14,8,5,7,16,4,10,8,6,12,7,11,8,10,4,10,27,13,25,18,5,27,10,12,52,5,11,15,6,11,9,15,4,6,9,14
01.01.2019 21:00,5,10,15,7,13,7,6,16,9,7,15,7,5,7,22,3,11,8,6,11,5,9,9,10,3,10,22,11,18,15,6,11,10,10,54,6,9,15,6,10,12,8,4,6,8,12
01.01.2019 22:00,4,9,13,6,12,4,5,15,10,5,10,6,6,5,19,5,8,9,5,9,4,7,8,7,2,8,19,10,19,15,5,20,10,9,47,6,8,13,7,8,12,6,3,4,9,11
01.01.2019 23:00,4,8,5,5,10,5,4,16,5,5,11,6,4,5,11,3,6,6,5,7,3,7,7,8,1,6,15,8,16,14,3,12,7,7,39,6,6,11,7,8,8,6,2,4,8,9
01.01.2019 24:00,3,5,8,5,9,5,5,5,5,5,7,5,4,3,3,4,5,5,4,8,2,7,4,7,0,5,14,7,14,13,3,8,11,7,41,5,5,11,5,8,5,4,2,3,5,10
02.01.2019 01:00,3,4,8,6,8,7,5,7,5,4,6,4,4,3,9,3,5,5,4,6,3,6,5,5,0,6,17,6,7,6,2,6,12,8,24,4,5,5,5,7,4,4,1,3,3,5
02.01.2019 02:00,4,4,6,5,6,2,4,16,4,4,4,4,3,3,2,2,3,3,4,6,2,6,4,5,0,5,12,5,6,5,1,11,7,6,6,3,4,5,3,6,4,2,1,3,4,7
02.01.2019 03:00,7,4,6,5,7,5,4,9,4,4,6,4,3,3,2,4,3,3,3,7,3,3,4,3,0,4,11,4,1,5,1,5,4,4,4,4,4,7,4,6,5,7,1,3,4,11
02.01.2019 04:00,8,5,10,4,5,2,3,12,4,2,4,4,3,3,2,3,3,4,3,9,3,4,5,2,0,4,9,4,1,5,1,8,5,5,6,4,4,6,5,6,4,4,1,3,6,7
02.01.2019 05:00,6,5,8,5,7,1,4,12,4,3,5,4,4,3,4,4,4,3,3,7,3,4,7,3,0,4,14,5,2,7,1,9,6,5,5,3,5,7,5,6,5,4,1,3,7,7
02.01.2019 06:00,5,8,8,7,15,7,6,11,4,4,9,5,7,4,2,5,5,4,4,10,5,7,5,3,0,6,34,7,6,8,1,21,9,8,8,4,8,11,4,7,7,7,1,4,9,10
02.01.2019 07:00,5,14,11,8,22,11,6,17,5,6,22,6,9,5,2,9,7,6,5,11,8,9,25,6,3,8,62,16,28,10,2,20,13,12,6,5,10,13,6,9,8,12,2,4,10,20
02.01.2019 08:00,5,17,16,8,32,15,7,15,6,17,42,6,6,5,4,7,10,7,8,13,15,12,33,5,5,11,71,15,39,16,2,23,14,16,8,5,15,15,9,12,8,23,2,5,16,29
02.01.2019 09:00,5,19,16,10,37,18,7,20,11,26,47,7,9,6,3,6,11,9,11,18,26,14,39,6,4,11,69,17,39,15,2,25,14,16,23,5,12,19,10,13,10,22,2,7,14,35
02.01.2019 10:00,6,23,19,11,42,19,8,23,12,19,41,8,11,7,3,6,11,10,8,18,21,15,49,6,5,11,59,17,27,17,3,23,14,17,21,6,14,17,11,14,10,29,3,6,20,31
02.01.2019 11:00,8,25,22,12,40,19,8,19,7,9,36,8,11,6,3,6,11,16,8,18,10,18,30,5,5,11,63,17,24,21,2,27,17,16,8,6,16,19,10,13,10,25,3,6,17,20
02.01.2019 12:00,11,30,32,12,45,19,9,20,9,8,44,8,10,6,7,7,8,12,7,18,24,21,21,5,5,12,59,17,27,31,2,26,15,14,7,6,13,17,9,14,12,19,3,6,12,23
02.01.2019 13:00,9,26,15,11,44,18,9,19,10,12,39,8,7,7,5,7,8,12,7,12,20,19,19,4,6,10,64,16,27,21,2,21,15,24,7,6,15,16,9,18,9,16,2,6,10,41
02.01.2019 14:00,7,24,12,12,43,20,10,18,8,11,39,8,9,6,7,7,12,13,10,11,14,23,15,5,4,11,72,17,30,14,1,18,23,26,10,8,14,20,10,14,9,18,2,6,14,37
02.01.2019 15:00,8,23,9,14,42,16,10,25,10,10,39,9,9,5,11,12,8,15,9,7,16,25,23,3,7,13,63,19,26,16,2,16,24,25,15,7,13,15,12,13,9,18,2,7,17,26
02.01.2019 16:00,12,31,12,14,39,16,11,20,5,11,46,8,14,4,8,9,9,13,9,12,20,28,34,4,6,12,61,20,29,14,3,27,20,41,15,7,12,18,11,13,10,15,2,5,16,30
02.01.2019 17:00,12,24,15,16,38,18,12,24,8,17,53,10,14,5,8,10,9,19,10,17,23,26,32,7,6,10,59,19,43,13,2,31,28,44,14,6,25,18,13,19,13,54,3,5,18,41
02.01.2019 18:00,13,29,23,20,43,19,11,10,6,21,64,14,9,8,13,10,13,17,10,22,19,33,31,5,5,12,64,12,30,17,3,33,43,45,23,7,35,17,13,25,12,41,3,5,30,32
02.01.2019 19:00,17,57,26,26,41,24,17,7,6,22,45,11,11,14,11,10,20,19,10,32,11,30,34,7,10,14,79,20,46,18,5,31,24,31,25,8,25,21,16,23,16,28,3,6,26,44
02.01.2019 20:00,20,34,30,25,45,25,20,4,5,11,36,9,12,10,9,9,15,15,24,37,9,29,45,7,25,22,83,40,50,20,7,24,17,27,19,24,17,34,16,20,15,20,5,7,18,48
02.01.2019 21:00,9,25,25,24,51,27,17,3,5,10,36,11,9,8,6,7,23,16,24,31,14,26,46,8,28,24,92,39,49,21,9,19,19,23,24,15,16,24,24,16,11,16,4,13,17,29
02.01.2019 22:00,7,13,58,18,35,19,10,4,8,15,32,9,11,7,6,5,16,15,15,22,11,21,22,12,21,22,63,31,47,22,6,17,12,19,29,17,13,23,19,15,8,13,2,16,11,27
02.01.2019 23:00,7,23,55,13,30,19,9,9,8,10,27,9,9,7,5,5,11,12,13,25,16,19,8,9,13,17,58,21,37,22,5,16,10,15,17,10,10,20,16,13,8,14,2,10,16,32
02.01.2019 24:00,10,14,61,13,24,13,9,11,6,9,23,9,13,8,7,5,9,12,17,23,13,14,21,11,7,18,38,17,20,17,5,18,13,12,9,6,6,26,10,11,7,15,2,13,9,22
03.01.2019 01:00,8,15,59,12,17,10,10,9,6,12,16,8,12,8,11,5,7,9,27,22,12,13,18,6,5,13,33,13,14,12,4,13,10,11,13,9,6,19,13,10,9,17,2,11,10,21
03.01.2019 02:00,8,9,55,12,16,9,10,9,6,12,13,8,12,6,8,5,5,7,25,22,11,11,17,6,5,10,29,12,12,11,2,14,12,11,14,9,6,16,12,9,11,14,3,6,8,20
03.01.2019 03:00,8,10,53,11,14,8,9,11,5,10,21,8,12,7,7,8,8,7,8,22,4,12,13,7,6,11,30,14,15,14,2,13,11,9,6,8,6,14,9,9,7,10,3,9,8,18
03.01.2019 04:00,8,12,51,10,14,8,9,20,7,9,15,9,14,7,8,8,9,6,9,20,5,11,17,5,7,12,26,13,11,20,2,11,10,9,5,8,11,14,13,10,8,12,3,8,8,18
03.01.2019 05:00,7,15,50,12,19,9,10,20,6,11,15,10,13,8,9,9,9,7,11,18,8,15,17,6,7,14,35,15,19,30,4,17,10,14,8,7,7,19,9,12,8,13,4,10,12,22
