Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Aschaffenburg/Bussardweg,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bad Reichenhall/Kirchholzstraße,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burgbernheim/Grüne Au,Burghausen/Marktler Straße,Erlangen/Kraepelinstraße,Garmisch-Partenkirchen/Wasserwerk,Hof/LfU,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kempten (Allgäu)/Westendstraße,Kleinwallstadt/Hofstetter Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,Mehring/Sportplatz,München/Allach,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Neustadt a.d.Donau/Eining,Nürnberg/Bahnhof,Nürnberg/Muggenhof,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Oettingen/Goethestraße,Passau/Angerstraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Saal a.d.Donau/Regensburger Straße,Schwabach/Angerstraße,Schwandorf/Wackersdorfer Straße,Schweinfurt/Obertor,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Weiden i.d.OPf./Nikolaistraße,Würzburg/Stadtring Süd
01.01.2021 01:00,6,17,17,34,43,43,35,3,12,22,16,11,19,17,33,13,39,25,44,16,16,36,28,21,41,45,42,42,39,40,19,17,17,18,17,15,      ,19,34,19,15,23,13,8,25,24,22
01.01.2021 02:00,8,15,18,42,44,42,35,2,6,21,13,11,20,16,27,12,30,25,28,14,13,30,25,24,38,39,43,39,35,37,18,15,17,15,24,16,      ,18,31,20,13,19,11,7,24,21,18
01.01.2021 03:00,5,16,17,38,33,34,29,1,7,22,16,12,19,17,22,11,27,23,32,10,12,29,20,21,34,34,35,38,37,29,22,18,17,33,18,13,      ,20,31,17,12,17,12,7,22,18,15
01.01.2021 04:00,3,18,16,35,34,33,31,0,7,21,15,11,17,18,17,7,25,21,28,8,11,30,17,18,35,31,31,34,32,35,21,15,20,20,15,10,      ,18,31,17,10,20,16,8,21,19,16
01.01.2021 05:00,3,25,18,39,29,34,30,0,6,22,15,16,21,16,17,7,26,20,31,10,12,28,19,16,34,30,34,33,32,26,17,14,13,16,13,11,      ,20,32,14,11,18,17,7,21,21,17
01.01.2021 06:00,4,22,21,42,32,34,29,2,7,23,16,14,23,16,17,8,26,20,34,11,14,28,20,16,33,28,54,42,41,32,14,16,16,20,13,18,      ,22,34,13,13,22,17,7,21,21,18
01.01.2021 07:00,3,27,24,43,43,44,29,1,7,20,19,7,24,19,21,8,25,21,35,14,14,27,21,18,32,32,55,43,45,32,16,18,17,20,16,18,      ,22,32,19,15,20,22,7,21,23,23
01.01.2021 08:00,7,30,23,43,41,45,30,0,7,23,20,6,20,22,22,8,26,20,39,16,15,26,22,18,30,33,50,42,46,32,16,18,23,29,18,23,      ,23,33,20,25,21,22,7,24,19,23
01.01.2021 09:00,8,29,27,40,44,44,29,1,9,20,22,9,21,20,28,9,22,21,33,8,16,26,25,19,31,29,61,42,42,31,15,26,23,35,17,20,      ,20,31,20,27,24,23,6,23,30,15
01.01.2021 10:00,7,24,28,38,41,40,27,2,5,20,22,9,18,20,23,9,21,22,32,7,16,27,23,16,31,24,48,40,40,30,12,20,25,24,16,15,      ,20,30,19,18,19,21,7,20,31,17
