Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Aschaffenburg/Bussardweg,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bad Reichenhall/Kirchholzstraße,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burgbernheim/Grüne Au,Burghausen/Marktler Straße,Erlangen/Kraepelinstraße,Garmisch-Partenkirchen/Wasserwerk,Hof/LfU,Ingolstadt/Münchener Straße,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kempten (Allgäu)/Westendstraße,Kleinwallstadt/Hofstetter Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,Mehring/Sportplatz,München/Allach,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Neustadt a.d. Aisch/An der Weißen Marter,Neustadt a.d.Donau/Eining,Nürnberg/Bahnhof,Nürnberg/Muggenhof,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Oettingen/Goethestraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Saal a.d.Donau/Regensburger Straße,Schwabach/Angerstraße,Schwandorf/Wackersdorfer Straße,Schweinfurt/Obertor,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Weiden i.d.OPf./Nikolaistraße,Würzburg/Stadtring Süd
01.04.2022 01:00,6,10,14,15,16,16,15,22,7,17,15,13,12,13,5,11,13,11,10,5,13,13,16,10,10,21,11,23,17,17,12,13,11,13,14,12,9,12,14,15,11,14,11,13,9,19,13,14
01.04.2022 02:00,6,12,14,16,15,16,14,17,7,13,15,12,14,12,5,11,13,11,10,7,15,12,14,10,10,9,10,20,12,15,10,13,10,13,15,12,7,11,10,12,10,13,11,13,9,19,12,12
01.04.2022 03:00,6,12,13,13,13,13,15,20,8,12,13,13,11,11,5,10,12,11,9,8,14,12,13,11,9,8,9,16,11,15,11,12,9,13,15,13,8,11,9,11,11,13,10,13,9,20,11,14
01.04.2022 04:00,6,13,13,15,14,13,12,16,9,12,17,11,19,11,7,10,13,11,9,10,12,11,11,13,10,9,9,15,10,17,10,11,9,16,16,18,12,10,10,14,11,15,11,14,8,10,11,13
01.04.2022 05:00,8,16,17,14,17,14,12,14,11,13,22,12,20,11,9,11,16,18,9,13,13,12,12,15,13,10,9,29,12,17,14,12,9,18,15,25,17,11,17,18,12,17,14,15,7,10,13,18
01.04.2022 06:00,9,28,22,16,23,17,12,15,12,20,26,12,19,12,8,12,20,19,11,17,19,27,15,15,13,15,10,52,19,26,21,14,8,21,17,42,20,12,22,21,15,17,15,16,7,11,25,37
01.04.2022 07:00,9,34,20,20,33,24,17,17,11,24,32,13,18,11,11,14,20,18,17,26,27,24,18,16,13,25,11,65,26,40,21,17,8,29,18,44,25,13,19,26,16,21,20,18,6,16,23,63
01.04.2022 08:00,10,24,16,24,35,28,20,21,11,22,32,15,16,9,12,14,21,15,14,22,28,25,15,23,14,25,12,62,29,45,22,23,9,24,18,38,18,12,22,25,17,21,21,14,6,10,24,51
01.04.2022 09:00,8,16,14,20,32,26,17,13,13,20,34,17,19,10,10,14,16,12,13,23,18,25,13,23,15,25,12,61,24,40,16,10,9,22,17,36,18,11,24,26,15,25,17,12,6,11,21,46
01.04.2022 10:00,8,14,12,18,28,24,15,16,12,20,32,14,16,9,9,15,13,12,12,23,18,21,13,24,13,21,12,58,20,39,14,9,8,20,15,36,12,11,20,22,15,21,17,12,7,10,20,47
