Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Aschaffenburg/Bussardweg,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bad Reichenhall/Kirchholzstraße,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burgbernheim/Grüne Au,Burghausen/Marktler Straße,Erlangen/Kraepelinstraße,Garmisch-Partenkirchen/Wasserwerk,Hof/LfU,Ingolstadt/Münchener Straße,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kempten (Allgäu)/Westendstraße,Kleinwallstadt/Hofstetter Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,Mehring/Sportplatz,München/Allach,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Neustadt a.d. Aisch/An der Weißen Marter,Neustadt a.d.Donau/Eining,Nürnberg/Bahnhof,Nürnberg/Muggenhof,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Oettingen/Goethestraße,Passau/Angerstraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Saal a.d.Donau/Regensburger Straße,Schwabach/Angerstraße,Schwandorf/Wackersdorfer Straße,Schweinfurt/Obertor,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Weiden i.d.OPf./Nikolaistraße,Würzburg/Stadtring Süd
01.05.2022 01:00,7,9,12,10,19,11,8,0,5,11,17,6,8,7,2,8,16,13,6,10,8,10,19,6,4,16,17,42,13,30,47,11,8,15,17,17,11,11,10,10,19,8,7,8,12,6,3,22,16
01.05.2022 02:00,6,8,9,10,19,11,8,3,4,10,13,6,8,8,2,8,14,10,6,6,9,12,16,5,4,11,17,25,13,28,39,11,10,13,10,13,20,10,9,10,23,12,7,12,5,5,2,27,16
01.05.2022 03:00,6,8,15,11,16,10,8,5,3,10,16,6,6,6,2,7,13,10,7,4,8,10,15,6,5,9,11,21,12,20,42,10,11,19,11,12,12,8,10,10,19,15,8,12,6,7,4,26,15
01.05.2022 04:00,7,12,20,11,16,10,8,7,4,9,18,6,5,6,3,9,11,9,7,3,7,14,15,5,7,10,9,22,12,23,29,10,17,9,10,14,11,8,10,10,19,14,8,9,4,7,4,18,16
01.05.2022 05:00,7,7,18,10,17,11,7,2,5,9,20,6,6,7,11,11,13,8,7,6,7,16,16,7,6,10,9,23,11,18,28,8,15,12,11,12,9,7,9,10,15,15,8,11,8,5,3,22,16
01.05.2022 06:00,5,7,20,9,12,9,9,11,5,12,19,5,9,7,7,13,11,9,8,7,7,16,16,8,6,10,10,22,11,15,28,9,12,25,10,11,12,7,14,12,17,13,7,11,9,5,5,20,14
01.05.2022 07:00,5,8,18,9,12,10,8,6,3,14,20,6,8,9,11,11,13,9,7,7,10,11,17,8,7,9,10,30,11,22,25,7,9,14,10,12,14,6,15,11,18,11,8,7,7,5,5,19,16
01.05.2022 08:00,5,10,15,9,13,9,7,5,3,7,22,6,7,8,12,7,12,6,8,6,13,10,17,9,7,11,11,31,11,19,24,8,7,15,9,12,15,7,19,12,23,14,7,10,7,6,4,18,17
01.05.2022 09:00,6,13,10,7,19,9,6,6,3,7,14,6,8,7,8,6,16,7,8,6,10,8,15,10,8,10,11,38,12,21,17,6,7,9,7,10,12,9,21,11,20,15,5,8,6,5,4,21,18
01.05.2022 10:00,4,10,6,9,19,9,5,2,5,7,11,6,9,6,5,6,20,8,8,5,8,7,14,9,6,11,13,54,14,25,10,7,5,8,6,10,12,6,20,10,15,8,5,9,5,5,3,16,14
