Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Aschaffenburg/Bussardweg,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bad Reichenhall/Kirchholzstraße,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burgbernheim/Grüne Au,Burghausen/Marktler Straße,Erlangen/Kraepelinstraße,Garmisch-Partenkirchen/Wasserwerk,Hof/LfU,Ingolstadt/Münchener Straße,Kelheim/Regensburger Straße,Kempten (Allgäu)/Westendstraße,Kleinwallstadt/Hofstetter Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,Mehring/Sportplatz,München/Allach,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Neustadt a.d. Aisch/An der Weißen Marter,Neustadt a.d.Donau/Eining,Nürnberg/Bahnhof,Nürnberg/Muggenhof,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Oettingen/Goethestraße,Passau/Angerstraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Saal a.d.Donau/Regensburger Straße,Schwabach/Angerstraße,Schwandorf/Wackersdorfer Straße,Schweinfurt/Obertor,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Weiden i.d.OPf./Nikolaistraße,Würzburg/Stadtring Süd
01.08.2022 01:00,3,20,7,9,12,11,8,0,4,25,27,5,8,14,3,12,13,14,5,16,14,15,5,4,6,6,22,8,15,17,12,4,26,27,22,15,7,#,22,40,12,10,15,9,3,5,36,16
01.08.2022 02:00,3,17,10,9,12,10,7,1,10,24,29,5,6,17,3,9,11,10,7,14,18,15,7,6,8,7,17,12,11,17,12,12,42,31,16,11,9,#,21,21,13,11,9,7,3,6,27,13
01.08.2022 03:00,4,11,10,10,15,12,7,2,14,18,30,5,8,16,10,12,12,11,9,14,14,14,5,7,9,5,17,10,11,13,12,12,32,24,17,13,5,#,20,26,11,9,10,8,6,8,28,12
01.08.2022 04:00,3,19,21,10,12,10,8,1,8,18,29,5,11,17,26,14,12,11,11,14,15,14,6,7,9,6,18,14,15,11,10,11,28,24,23,17,4,#,31,29,12,8,16,11,5,6,30,15
01.08.2022 05:00,4,26,30,11,23,17,10,1,5,34,35,5,9,14,11,12,19,13,14,17,24,18,9,7,7,7,43,17,18,22,11,11,24,22,23,19,5,#,36,33,11,12,17,24,5,10,32,18
01.08.2022 06:00,4,26,24,17,33,21,17,0,4,29,37,5,11,9,8,19,23,9,33,20,33,22,20,7,11,11,84,23,42,37,11,11,38,32,40,20,7,#,38,26,20,18,33,33,6,11,36,26
01.08.2022 07:00,4,26,23,16,34,28,16,7,14,37,37,5,11,6,8,19,22,12,35,17,21,28,22,8,14,10,92,26,53,38,13,9,41,34,42,18,7,#,35,27,16,17,21,24,6,6,33,33
01.08.2022 08:00,4,17,11,11,33,24,5,4,5,31,32,5,8,5,11,13,23,6,19,13,10,29,18,8,10,8,80,15,36,30,9,4,31,16,17,18,4,#,32,14,8,11,10,13,6,5,16,17
01.08.2022 09:00,3,15,15,9,34,18,5,9,11,22,21,5,8,5,8,9,21,6,14,11,11,17,15,7,6,7,80,13,40,15,5,4,28,10,13,15,3,#,17,16,8,8,8,11,4,5,8,12
01.08.2022 10:00,2,13,11,8,37,14,3,2,7,7,16,3,8,3,3,4,21,4,4,9,10,15,15,5,5,5,66,9,26,10,4,3,18,10,14,16,1,#,16,11,5,7,6,13,3,4,10,16
01.08.2022 11:00,2,14,10,6,29,13,2,8,4,8,15,2,7,3,3,3,21,6,3,9,10,15,17,6,4,4,62,7,34,9,3,3,14,8,14,12,1,#,14,9,5,6,6,14,2,3,10,15
01.08.2022 12:00,3,13,8,5,30,11,2,4,2,8,13,2,5,2,2,4,14,5,4,8,13,16,12,2,3,3,54,6,25,9,3,2,9,6,13,5,1,#,12,13,4,7,5,9,2,3,7,12
