Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burghausen/Marktler Straße,Fürth/Theresienstraße,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Passau/Stelzhamerstraße,Regensburg/Rathaus,Schwabach/Angerstraße,Schweinfurt/Obertor,Sulzbach-Rosenberg/Lohe,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Würzburg/Kopfklinik,Würzburg/Stadtring Süd
01.01.2018 01:00,5,198,240,351,339,77,4,535,557,107,1331,926,417,110,599,187,432,682,561,421,331,65,46,183,738,109,156,23,13,192,44,77
01.01.2018 02:00,7,34,49,137,220,94,20,51,66,40,80,1244,635,44,177,230,166,157,174,168,84,65,59,229,254,28,46,22,11,55,17,14
01.01.2018 03:00,10,14,16,44,15,25,19,27,22,48,14,1129,379,25,98,85,39,87,61,50,50,65,48,149,108,7,28,9,9,44,15,13
01.01.2018 04:00,11,9,16,43,14,5,8,19,30,60,16,246,146,29,118,11,28,71,50,36,40,65,44,82,73,14,12,10,11,42,12,12
01.01.2018 05:00,10,7,14,38,16,8,9,15,22,51,13,43,85,14,175,6,23,40,44,33,16,65,37,42,71,13,13,11,17,41,10,9
01.01.2018 06:00,6,6,8,30,10,10,8,14,13,27,7,35,63,10,147,4,15,25,38,20,13,65,38,58,62,5,12,10,17,35,11,5
01.01.2018 07:00,3,6,5,27,3,4,5,14,10,16,3,18,39,4,99,4,9,17,30,10,12,65,40,57,55,5,12,10,12,26,10,6
01.01.2018 08:00,3,6,4,25,2,3,2,12,9,5,6,9,20,7,28,5,8,16,28,8,12,65,41,39,37,5,9,6,6,16,9,6
01.01.2018 09:00,3,7,4,24,3,2,3,10,7,3,6,9,7,7,2,5,8,16,27,8,13,65,39,38,7,4,15,4,8,15,10,8
01.01.2018 10:00,3,6,5,23,2,2,5,12,10,2,6,9,7,2,2,8,9,16,26,8,12,65,36,38,2,4,13,5,7,13,10,6
