Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burghausen/Marktler Straße,Fürth/Theresienstraße,Ingolstadt/Münchener Straße,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Passau/Stelzhamerstraße,Regensburg/Rathaus,Schwabach/Angerstraße,Schweinfurt/Obertor,Sulzbach-Rosenberg/Lohe,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Würzburg/Kopfklinik,Würzburg/Stadtring Süd
01.01.2022 01:00,7,23,44,63,43,7,2,22,11,29,9,71,21,61,8,6,136,8,62,25,89,59,27,40,69,12,10,39,7,3,7,19,26
01.01.2022 02:00,4,11,42,34,43,24,2,11,19,17,19,45,17,12,13,8,73,6,27,24,36,28,19,62,77,31,11,61,8,4,7,12,13
01.01.2022 03:00,3,10,23,20,19,10,2,11,12,13,12,31,16,8,7,7,87,3,22,15,24,29,11,61,58,6,12,67,10,5,7,11,13
01.01.2022 04:00,3,10,14,11,12,10,2,12,14,15,9,22,17,15,5,8,130,5,24,13,15,28,9,45,52,8,10,16,11,6,8,11,13
01.01.2022 05:00,3,9,10,12,9,9,2,11,14,13,11,14,16,13,9,10,57,7,24,13,16,22,8,40,41,10,11,26,8,5,7,12,13
01.01.2022 06:00,3,9,11,11,9,7,2,11,14,11,8,14,15,14,9,9,58,9,15,14,12,24,7,38,46,13,7,26,6,5,8,11,12
01.01.2022 07:00,3,9,10,16,11,10,2,10,14,11,10,18,15,14,9,10,59,8,14,13,12,22,6,34,54,16,8,16,6,4,8,12,10
01.01.2022 08:00,3,8,11,18,13,11,2,11,12,11,7,18,15,14,9,9,51,7,15,12,12,22,6,30,49,11,7,15,7,4,9,11,9
01.01.2022 09:00,3,8,11,16,12,9,2,10,10,12,10,20,18,14,7,8,35,5,13,12,9,16,7,28,43,13,2,7,6,6,11,11,11
01.01.2022 10:00,2,9,13,16,16,13,2,12,7,15,8,26,18,15,8,11,44,6,14,13,10,15,6,30,39,10,4,9,5,7,15,12,8
01.01.2022 11:00,3,9,12,16,27,6,3,12,9,11,5,21,17,17,7,10,56,7,16,13,9,15,4,26,34,7,4,6,6,8,13,12,9
01.01.2022 12:00,4,9,13,18,19,2,8,12,9,8,4,19,15,13,8,9,36,9,16,13,12,16,4,29,27,4,3,7,4,8,10,10,6
01.01.2022 13:00,4,9,13,18,20,7,10,10,6,8,6,21,14,13,8,9,39,10,16,11,11,15,6,24,14,3,6,8,2,6,9,9,8
01.01.2022 14:00,6,9,13,17,14,9,2,9,6,6,4,20,12,7,8,9,51,12,14,11,12,13,7,22,11,5,7,9,2,9,8,8,11
01.01.2022 15:00,14,7,11,14,12,10,2,9,8,7,4,20,11,5,8,9,40,12,15,10,10,15,4,25,11,8,7,8,3,6,8,7,12
01.01.2022 16:00,11,7,11,17,21,9,2,10,11,8,5,17,11,12,9,10,42,10,14,11,11,17,7,36,13,10,9,11,7,6,9,8,14
01.01.2022 17:00,9,11,17,21,19,16,2,11,20,14,9,22,14,21,8,9,56,12,19,11,12,23,9,31,14,22,17,11,12,9,19,10,12
01.01.2022 18:00,7,13,25,36,21,22,2,12,12,29,16,33,16,35,11,11,70,15,27,21,15,26,21,35,16,35,29,7,22,8,14,12,17
01.01.2022 19:00,5,16,33,43,27,21,2,16,14,28,19,27,26,40,9,18,58,23,29,22,20,30,35,30,22,28,22,11,11,7,15,17,19
