Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burghausen/Marktler Straße,Fürth/Theresienstraße,Ingolstadt/Münchener Straße,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Passau/Angerstraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Schwabach/Angerstraße,Schweinfurt/Obertor,Sulzbach-Rosenberg/Lohe,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Würzburg/Kopfklinik,Würzburg/Stadtring Süd
01.05.2022 01:00,22,18,17,26,12,8,5,16,12,9,9,20,15,18,9,16,5,16,35,17,26,15,17,4,26,22,17,9,9,11,24,6,10,9
01.05.2022 02:00,21,20,19,26,21,10,2,16,12,8,11,21,17,20,9,12,6,21,31,19,23,17,13,3,28,22,14,9,10,9,26,4,16,11
01.05.2022 03:00,23,22,20,28,20,11,2,16,21,8,22,20,17,20,13,22,8,16,28,17,23,17,19,4,28,23,19,13,14,14,26,4,22,23
01.05.2022 04:00,23,24,24,31,16,14,5,16,17,7,16,23,19,20,25,17,8,16,32,24,23,19,20,4,28,24,27,16,17,15,21,4,18,22
01.05.2022 05:00,25,24,26,34,18,18,6,16,23,6,18,24,20,21,8,17,8,20,35,23,24,15,19,4,22,23,19,13,18,12,19,3,17,22
01.05.2022 06:00,22,23,29,37,21,16,7,17,23,7,19,25,20,23,8,23,8,23,31,23,21,14,14,4,18,21,18,15,14,15,20,4,17,19
01.05.2022 07:00,22,23,27,34,20,18,6,18,20,6,16,24,19,27,9,14,6,25,37,27,24,12,19,4,17,17,16,16,12,10,20,3,16,18
01.05.2022 08:00,19,24,24,31,16,19,6,17,6,6,14,24,19,27,12,19,7,24,37,28,26,14,9,6,17,17,16,23,11,8,19,3,16,11
01.05.2022 09:00,20,23,21,26,19,16,10,16,2,8,13,25,21,21,8,14,7,23,32,26,22,15,9,5,15,16,15,25,11,16,18,4,16,18
01.05.2022 10:00,20,23,16,21,16,12,9,18,10,17,15,26,20,16,4,16,9,21,34,25,20,11,9,4,14,15,18,25,9,17,18,7,15,13
01.05.2022 11:00,21,22,14,19,16,12,10,20,20,18,12,25,19,13,6,13,12,16,37,21,20,9,9,4,12,14,17,14,10,12,19,7,19,18
01.05.2022 12:00,19,17,13,18,12,9,5,22,3,15,15,18,14,13,14,11,17,18,31,19,20,8,8,12,11,14,16,20,7,13,19,8,22,22
01.05.2022 13:00,12,13,15,20,12,10,3,23,10,10,13,15,10,15,11,17,12,17,26,15,18,8,9,26,13,15,11,14,16,23,17,7,24,10
01.05.2022 14:00,10,14,13,18,12,10,5,23,4,7,18,15,10,15,22,16,6,16,20,14,14,8,20,23,14,13,10,17,16,19,18,7,25,22
01.05.2022 15:00,11,15,12,17,15,7,7,21,4,9,18,15,10,15,17,5,5,16,21,16,15,9,22,27,12,12,15,16,16,21,20,14,23,23
01.05.2022 16:00,15,13,10,14,13,8,6,22,9,9,18,15,10,15,20,9,4,18,20,14,15,9,24,17,13,11,15,20,20,15,18,14,19,18
01.05.2022 17:00,17,12,10,15,9,6,4,24,21,11,15,15,10,13,35,10,7,15,22,16,16,9,19,14,12,11,12,22,22,17,18,12,16,21
01.05.2022 18:00,17,11,10,14,11,5,6,21,30,10,18,15,10,12,23,9,9,15,23,16,17,10,25,14,9,9,15,18,14,19,16,11,15,19
01.05.2022 19:00,16,11,10,15,10,5,7,20,32,11,20,16,11,16,27,8,9,17,24,16,18,12,27,18,10,9,29,19,20,20,16,11,12,24
01.05.2022 20:00,15,11,13,21,18,6,6,21,24,14,20,24,13,16,36,8,8,17,25,16,19,13,37,20,10,9,25,30,10,32,19,14,12,25
01.05.2022 21:00,14,12,16,27,27,15,4,22,37,15,29,27,14,17,27,14,14,19,28,16,20,14,37,32,10,10,48,31,14,28,19,17,14,15
01.05.2022 22:00,14,12,24,30,31,16,3,25,40,14,28,35,18,18,29,14,13,18,30,18,24,19,27,18,15,11,32,24,10,26,22,19,15,21
01.05.2022 23:00,13,15,26,35,31,20,2,26,16,18,36,33,20,17,20,17,12,16,36,21,29,18,31,14,14,13,23,24,10,26,23,18,15,20
01.05.2022 24:00,14,15,30,37,33,15,2,27,15,12,29,27,22,16,13,15,14,18,42,26,27,17,30,10,13,13,26,18,10,23,22,15,14,18
02.05.2022 01:00,13,16,29,31,24,10,3,25,8,12,31,22,21,17,2,16,16,13,39,25,22,18,35,8,16,13,21,15,9,22,21,12,15,25
02.05.2022 02:00,15,17,23,31,27,15,4,18,16,13,26,22,21,16,8,17,15,16,37,28,20,20,24,7,14,13,21,19,9,22,19,12,17,20
