Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burghausen/Marktler Straße,Fürth/Theresienstraße,Ingolstadt/Münchener Straße,Kelheim/Regensburger Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Passau/Angerstraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Schwabach/Angerstraße,Schweinfurt/Obertor,Sulzbach-Rosenberg/Lohe,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Würzburg/Kopfklinik,Würzburg/Stadtring Süd
01.08.2022 01:00,8,19,14,15,12,16,3,18,16,11,32,13,12,12,13,11,   -,15,12,15,7,28,15,#,17,15,11,19,15,9,10,14,24
01.08.2022 02:00,7,15,15,13,16,12,3,18,22,10,34,14,12,12,10,12,   -,12,11,14,4,22,17,#,15,15,14,13,11,9,10,12,22
01.08.2022 03:00,7,11,15,15,12,10,7,17,23,10,20,12,12,18,11,13,   -,12,11,13,3,13,18,#,14,14,12,7,23,9,10,11,16
01.08.2022 04:00,8,13,13,16,12,13,10,17,20,11,14,10,14,18,13,12,   -,12,10,14,3,17,17,#,14,13,13,9,21,10,10,11,13
01.08.2022 05:00,7,14,12,18,12,11,9,18,19,11,16,10,15,20,14,14,   -,13,8,13,3,26,16,#,15,15,14,9,12,10,10,13,13
01.08.2022 06:00,9,13,13,18,15,9,8,18,15,11,17,8,13,15,14,14,   -,17,9,15,5,22,14,#,15,13,15,11,13,11,10,14,8
01.08.2022 07:00,8,14,12,16,20,10,11,18,11,10,12,3,38,10,10,14,   -,19,8,16,3,18,14,#,16,13,10,8,7,11,9,12,9
01.08.2022 08:00,8,13,12,12,20,11,16,18,10,11,6,8,12,4,12,14,   -,19,6,15,5,18,14,#,15,8,10,6,2,12,9,10,9
01.08.2022 09:00,8,11,11,11,18,8,9,    # ,10,9,8,12,11,5,14,14,   -,19,7,16,5,8,13,#,12,10,2,5,2,11,9,8,9
01.08.2022 10:00,9,9,9,10,16,13,12,9,6,9,7,15,12,5,12,12,   -,20,10,15,3,5,13,#,13,6,11,5,11,9,11,8,3
01.08.2022 11:00,8,6,8,13,12,9,10,13,6,9,9,19,13,4,13,12,   -,18,9,17,4,2,10,#,13,10,20,8,4,9,10,7,11
01.08.2022 12:00,7,7,6,14,9,6,10,10,8,10,7,17,13,11,10,11,   -,16,8,17,4,2,8,#,14,10,10,4,6,8,10,6,7
01.08.2022 13:00,7,6,7,17,10,8,9,7,10,11,4,19,9,10,10,11,   -,17,9,14,4,2,7,   -,14,6,8,3,4,7,10,4,2
01.08.2022 14:00,9,7,8,17,11,7,8,6,6,10,9,21,11,2,10,9,   -,16,7,14,8,2,9,   -,16,8,8,6,2,6,9,5,6
01.08.2022 15:00,7,8,12,14,13,5,7,7,2,10,9,21,9,2,9,10,   -,17,11,14,10,3,8,   -,13,10,22,7,2,6,9,7,14
01.08.2022 16:00,14,7,13,14,21,10,6,7,2,10,12,18,10,2,10,10,   -,19,12,18,10,8,8,   -,11,12,15,7,7,7,8,8,12
01.08.2022 17:00,20,5,9,11,14,9,5,6,3,10,3,20,7,2,6,10,   -,23,16,19,8,7,7,   -,10,8,12,11,7,7,9,7,12
01.08.2022 18:00,16,4,6,12,3,2,5,6,5,10,11,12,7,4,9,9,   -,21,12,27,11,6,10,   -,10,6,27,10,15,7,9,11,17
01.08.2022 19:00,8,5,19,18,2,2,2,7,9,10,13,3,11,11,23,11,   -,15,9,14,7,21,12,   -,12,7,38,9,17,6,8,11,19
01.08.2022 20:00,9,9,16,20,12,6,3,7,15,10,12,3,11,10,2,11,   -,18,10,12,9,17,14,   -,13,12,55,12,18,6,8,13,24
01.08.2022 21:00,9,10,12,16,15,11,2,10,21,10,15,3,13,12,2,11,   -,26,13,14,10,21,16,   -,15,15,56,16,16,5,8,14,22
01.08.2022 22:00,9,12,11,13,5,16,3,12,27,9,16,3,15,14,6,10,   -,24,14,16,8,17,15,   -,14,14,8,20,20,4,8,13,28
01.08.2022 23:00,11,9,9,13,8,9,6,12,18,8,26,4,11,12,6,12,   -,13,9,10,6,25,14,   -,14,21,15,8,17,3,8,12,35
01.08.2022 24:00,8,12,7,13,7,4,9,12,21,9,25,5,8,12,2,9,   -,9,5,5,7,31,14,   -,13,14,11,5,9,4,7,8,14
02.08.2022 01:00,4,14,7,13,4,2,6,12,12,10,23,7,6,9,2,8,12,8,4,3,3,42,13,   -,17,15,16,6,23,4,7,7,10
02.08.2022 02:00,5,15,6,12,2,2,3,7,15,8,21,12,7,8,5,6,9,5,3,3,4,22,11,   -,13,10,11,5,19,4,7,7,12
02.08.2022 03:00,7,16,6,11,2,2,2,6,10,8,17,12,9,11,5,6,9,5,4,3,5,16,7,   -,13,9,15,2,16,4,7,7,9
02.08.2022 04:00,7,18,5,9,3,6,2,6,7,6,18,12,12,12,6,6,7,6,6,4,11,23,7,   -,14,10,13,2,12,5,6,6,12
02.08.2022 05:00,6,18,6,9,6,8,2,8,10,6,20,12,10,8,9,5,8,9,5,5,9,15,5,   -,14,11,11,5,13,6,5,6,13
02.08.2022 06:00,5,14,7,11,8,7,2,8,9,6,15,14,9,11,8,5,11,13,3,6,10,17,6,   -,15,13,12,6,12,6,5,6,14
02.08.2022 07:00,5,10,8,11,10,13,2,8,7,6,12,12,9,10,2,4,11,15,3,8,12,15,5,   -,13,10,12,5,4,6,6,7,23
02.08.2022 08:00,3,13,8,11,14,6,5,10,3,6,10,11,7,3,4,4,9,14,3,8,10,11,4,   -,10,2,2,5,2,6,6,6,25
02.08.2022 09:00,3,13,5,13,17,2,7,9,2,6,5,12,6,2,2,6,12,13,8,9,5,14,3,   -,8,2,2,5,2,7,5,6,11
02.08.2022 10:00,6,12,6,12,15,2,6,11,2,4,3,16,7,2,3,6,12,13,10,8,5,8,3,   -,8,6,6,7,4,8,10,5,9
02.08.2022 11:00,5,12,7,14,8,5,6,11,2,6,10,17,8,7,7,6,11,15,11,10,4,2,4,   -,8,8,33,8,4,7,6,5,13
02.08.2022 12:00,6,11,6,13,10,7,6,11,2,7,16,22,7,11,6,10,7,16,8,11,3,2,3,   -,10,12,16,9,8,8,6,4,2
02.08.2022 13:00,5,8,5,10,10,10,6,10,2,7,12,21,7,14,5,12,7,14,7,11,4,2,4,   -,9,12,10,8,8,8,7,5,5
02.08.2022 14:00,13,7,4,10,11,8,5,9,21,8,10,17,7,7,7,9,9,14,7,10,5,2,6,   -,8,3,10,8,3,9,7,5,14
02.08.2022 15:00,10,8,5,8,11,6,4,9,14,9,12,15,8,10,6,11,10,14,8,10,5,7,6,   -,8,8,13,7,5,9,7,5,15
02.08.2022 16:00,7,6,5,8,15,5,5,9,2,7,10,16,7,9,7,9,11,12,9,9,7,11,4,   -,8,16,14,7,7,10,7,6,15
02.08.2022 17:00,9,6,5,7,11,2,4,8,2,8,15,19,7,11,8,11,12,13,9,16,6,9,4,   -,8,10,29,9,15,11,8,7,16
02.08.2022 18:00,18,6,5,8,6,3,3,7,3,10,15,21,7,11,8,10,16,16,7,14,6,12,5,   -,8,10,26,11,4,12,7,8,20
02.08.2022 19:00,9,7,6,9,6,2,2,8,10,10,15,18,7,14,7,8,20,18,6,23,6,14,8,   -,9,15,53,11,17,10,7,9,21
02.08.2022 20:00,7,11,6,9,11,2,3,8,22,12,11,18,12,17,7,9,23,21,4,22,7,15,16,   -,11,17,38,9,32,12,7,9,21
02.08.2022 21:00,7,15,10,11,12,5,4,13,34,11,16,18,15,15,10,11,25,31,6,21,10,22,16,   -,14,21,19,14,25,11,8,12,27
