Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burghausen/Marktler Straße,Fürth/Theresienstraße,Ingolstadt/Münchener Straße,Kelheim/Regensburger Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Passau/Stelzhamerstraße,Regensburg/Rathaus,Schwabach/Angerstraße,Schweinfurt/Obertor,Sulzbach-Rosenberg/Lohe,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Würzburg/Kopfklinik,Würzburg/Stadtring Süd
22.10.2022 01:00,5,12,8,9,11,13,2,19,18,26,16,24,36,18,24,18,4,12,8,8,16,10,21,36,39,16,22,15,21,12,14,24
22.10.2022 02:00,7,7,6,13,6,9,2,17,19,26,17,25,39,24,24,8,4,11,9,11,8,10,21,32,26,18,12,10,23,12,14,21
22.10.2022 03:00,8,3,7,8,7,6,3,18,20,26,20,22,32,22,31,3,7,7,5,7,3,16,19,34,31,15,13,21,21,13,15,21
22.10.2022 04:00,7,2,6,9,8,6,5,16,21,28,9,18,28,26,20,2,10,7,6,4,3,6,16,33,27,6,15,27,20,10,16,16
22.10.2022 05:00,5,1,6,9,8,5,2,12,16,22,9,15,28,20,14,3,11,6,6,3,3,7,15,33,28,6,11,18,12,8,11,11
22.10.2022 06:00,5,2,5,7,6,6,2,9,13,13,10,12,27,22,6,1,10,7,5,2,3,8,13,35,23,7,14,18,6,6,9,11
22.10.2022 07:00,4,5,4,5,4,6,2,10,13,8,8,10,15,14,2,2,13,5,8,2,3,9,13,42,26,5,10,16,6,5,9,10
22.10.2022 08:00,4,6,4,4,6,5,2,7,4,7,11,13,9,16,3,3,12,7,8,3,3,13,14,44,27,5,11,17,8,4,9,11
22.10.2022 09:00,3,4,4,5,6,2,2,6,8,6,14,11,8,11,6,3,13,7,8,3,4,11,13,39,30,8,13,17,6,9,8,10
22.10.2022 10:00,4,1,4,5,6,2,3,6,6,6,5,10,8,4,6,3,16,10,9,4,4,8,15,34,16,4,10,10,5,10,8,8
22.10.2022 11:00,4,1,4,5,8,3,8,7,2,6,2,9,8,2,5,3,11,13,9,5,4,8,14,28,2,2,2,2,6,6,6,6
22.10.2022 12:00,4,0,5,5,7,5,8,7,2,8,2,9,7,5,7,3,5,10,10,5,5,3,12,26,2,2,2,2,8,7,5,2
22.10.2022 13:00,4,0,6,7,10,4,6,6,5,6,7,9,5,7,7,4,4,13,4,9,6,2,10,20,2,2,2,2,7,5,5,2
22.10.2022 14:00,4,0,5,7,14,2,3,5,9,5,14,10,5,7,8,3,2,18,3,13,7,2,9,8,2,8,2,2,6,4,6,11
22.10.2022 15:00,4,0,6,11,19,5,2,4,11,5,6,12,4,4,5,2,2,13,7,10,7,2,6,7,2,13,5,2,5,5,7,14
22.10.2022 16:00,5,0,7,12,22,7,2,6,6,5,2,11,5,2,5,3,9,14,8,32,7,7,7,6,10,6,8,4,4,7,9,9
22.10.2022 17:00,7,0,9,15,26,9,2,7,5,7,11,13,9,14,8,4,18,18,10,24,9,14,15,9,15,18,13,17,4,9,10,9
22.10.2022 18:00,9,12,13,18,44,11,2,11,30,16,18,19,15,34,10,15,20,23,20,22,13,15,33,14,11,24,15,29,5,11,12,30
22.10.2022 19:00,10,51,18,17,41,18,2,15,31,26,20,33,36,23,12,21,17,35,22,21,26,25,18,18,20,26,30,29,5,16,17,26
22.10.2022 20:00,7,34,20,26,34,24,2,25,40,20,25,34,42,22,18,20,15,33,24,23,33,31,11,24,23,24,24,28,5,28,25,25
22.10.2022 21:00,6,30,23,35,28,26,2,23,26,15,25,31,72,20,18,19,12,24,26,29,37,33,10,30,23,29,21,31,5,17,27,23
22.10.2022 22:00,7,26,20,25,23,18,2,30,28,13,25,23,37,23,28,16,13,20,23,22,35,28,8,18,21,35,19,35,5,15,25,27
22.10.2022 23:00,7,22,15,19,19,17,2,21,36,9,23,22,23,13,22,15,15,17,19,16,28,23,6,14,17,31,22,34,7,30,28,21
22.10.2022 24:00,7,22,14,20,17,17,2,20,33,10,20,19,22,17,26,9,8,16,15,14,33,20,6,14,20,23,17,26,6,17,23,20
23.10.2022 01:00,10,27,13,22,19,15,2,22,15,8,18,18,24,22,11,11,4,15,11,13,29,15,5,11,14,28,13,21,5,14,23,21
23.10.2022 02:00,9,20,11,22,18,15,2,23,17,10,19,15,27,21,10,13,4,14,10,10,24,12,6,10,13,16,17,25,4,13,23,21
23.10.2022 03:00,8,18,10,20,17,12,2,20,15,12,14,14,14,18,13,11,3,14,10,7,19,14,5,10,13,11,14,9,6,13,20,14
23.10.2022 04:00,6,18,8,16,11,10,2,17,11,8,15,12,10,14,7,13,2,9,9,7,14,15,5,10,12,10,14,2,7,12,21,18
23.10.2022 05:00,5,18,8,16,13,12,2,12,9,8,16,14,9,15,6,11,2,8,8,7,15,14,4,13,11,12,13,2,7,14,19,17
23.10.2022 06:00,4,20,8,14,12,12,2,9,15,9,12,14,9,11,5,11,2,8,4,7,14,15,4,12,14,12,16,5,8,14,16,14
23.10.2022 07:00,4,10,8,15,12,9,2,8,8,12,15,10,12,8,5,16,2,8,4,8,14,16,4,12,12,8,11,8,9,12,12,9
23.10.2022 08:00,4,9,8,14,14,10,2,8,10,10,13,7,11,9,6,11,2,7,4,6,12,13,5,15,12,10,13,13,6,10,13,10
23.10.2022 09:00,3,9,8,12,12,9,2,13,5,13,6,7,12,13,6,13,5,8,4,4,11,9,5,21,12,11,15,15,6,14,12,12
23.10.2022 10:00,3,7,6,11,8,8,2,14,5,14,3,6,11,12,8,11,9,7,3,3,12,2,3,16,10,4,13,11,5,12,13,14
23.10.2022 11:00,3,4,5,10,10,7,4,19,7,15,2,8,11,4,10,13,9,8,3,3,10,2,3,13,7,2,8,8,6,9,12,11
23.10.2022 12:00,3,2,6,10,9,6,6,13,6,10,2,7,10,2,7,14,9,8,9,4,9,2,3,13,10,2,2,5,7,6,8,2
23.10.2022 13:00,4,0,6,9,7,7,5,8,5,8,2,8,10,2,3,13,14,9,11,6,9,2,5,8,13,3,2,2,7,5,7,2
23.10.2022 14:00,5,0,7,10,10,8,4,5,3,7,4,10,11,6,6,13,17,9,11,9,8,2,7,5,13,9,3,2,9,7,8,8
23.10.2022 15:00,6,0,7,12,11,10,9,5,2,7,9,10,12,7,7,13,18,10,11,10,7,8,11,5,14,16,10,3,9,8,10,17
23.10.2022 16:00,9,0,9,12,12,8,15,6,3,7,10,12,15,7,9,15,16,12,11,14,8,16,21,7,14,16,8,11,9,9,9,5
23.10.2022 17:00,13,4,11,13,18,13,26,7,10,12,11,14,20,7,7,21,13,15,8,18,11,20,19,12,11,14,12,16,7,12,11,15
23.10.2022 18:00,12,7,14,15,18,13,24,10,18,19,14,15,36,14,8,26,15,17,13,18,11,24,20,18,14,20,16,26,7,16,13,20
23.10.2022 19:00,16,10,17,21,24,17,30,13,16,16,14,17,30,12,14,23,17,19,16,22,16,26,18,20,20,13,14,24,5,37,14,20
23.10.2022 20:00,20,20,23,33,35,15,26,14,5,38,15,19,23,7,21,25,15,23,15,30,23,20,21,25,16,15,11,23,5,21,15,19
23.10.2022 21:00,20,10,24,26,23,17,20,17,11,22,16,18,22,9,14,23,16,30,13,32,22,21,24,30,11,11,15,15,4,20,17,23
